comp01, 5.00, 0.00, 81.36, -5.00, 76.36
comp02, 24.00, 67.00, 474.17, 43.00, 450.17
comp03, 64.00, 122.00, 564.33, 58.00, 500.33
comp04, 35.00, 24.00, 81.33, -11.00, 46.33
comp05, 284.00, 76.00, 169.17, -208.00, -114.83
comp06, 27.00, 13.00, 89.00, -14.00, 62.00
comp07, 6.00, 41.00, 134.17, 35.00, 128.17
comp08, 37.00, 30.00, 145.17, -7.00, 108.17
comp09, 96.00, 68.00, 150.50, -28.00, 54.50
comp10, 4.00, 40.00, 91.50, 36.00, 87.50
comp11, 0.00, 8.00, 20.67, 8.00, 20.67
comp12, 294.00, 43.00, 59.83, -251.00, -234.17
comp13, 59.00, 72.00, 167.50, 13.00, 108.50
comp14, 51.00, 14.00, 109.83, -37.00, 58.83
comp15, 62.00, 108.00, 366.67, 46.00, 304.67
comp16, 18.00, 59.00, 183.00, 41.00, 165.00
comp17, 56.00, 18.00, 133.67, -38.00, 77.67
comp18, 61.00, 22.00, 78.50, -39.00, 17.50
comp19, 57.00, 115.00, 200.50, 58.00, 143.50
comp20, 4.00, 38.00, 137.00, 34.00, 133.00
comp21, 74.00, 79.00, 281.00, 5.00, 207.00